text_01.dat                                                                     
poles     1  1  1
       phi     theta      int
    95.000    28.966     3.774
   105.000    28.966     3.135
   115.000    28.966     2.107
   125.000    28.966     1.312
   135.000    28.966     0.717
   145.000    28.966     0.398
   155.000    28.966     0.194
   165.000    28.966     0.105
   175.000    28.966     0.084
   185.000    28.966     0.086
  -185.000    38.303     0.109
  -175.000    38.303     0.103
  -165.000    38.303     0.115
  -155.000    38.303     0.250
  -145.000    38.303     0.756
  -135.000    38.303     1.617
  -125.000    38.303     2.126
  -115.000    38.303     2.052
  -105.000    38.303     1.762
   -95.000    38.303     1.552
   -85.000    38.303     1.417
   -75.000    38.303     1.415
   -65.000    38.303     1.442
   -55.000    38.303     1.309
   -45.000    38.303     0.854
   -35.000    38.303     0.420
   -25.000    38.303     0.217
   -15.000    38.303     0.152
    -5.000    38.303     0.117
     5.000    38.303     0.114
    15.000    38.303     0.174
    25.000    38.303     0.367
    35.000    38.303     0.891
    45.000    38.303     1.526
    55.000    38.303     1.751
    65.000    38.303     1.427
    75.000    38.303     1.095
    85.000    38.303     1.043
    95.000    38.303     1.136
   105.000    38.303     1.252
